Kode Barang,Nama Baju,Kategori/Motif,Warna,Ukuran,Harga,Sisa Stok,Foto
KMJ-001,Kemeja Flanel Pria,Kotak-kotak,Merah Putih Biru,M,175000,5,https://i.imgur.com/MO84f9K.jpeg
KMJ-002,Kemeja Flanel Pria,Kotak-kotak,Merah Putih Biru,L,175000,4,https://i.imgur.com/MO84f9K.jpeg
KMJ-003,Kemeja Flanel Pria,Kotak-kotak,Merah Putih Biru,XL,175000,4,https://i.imgur.com/MO84f9K.jpeg
KOS-001,Kaos Oversize Pria,Polos,Hitam,L,85000,5,https://i.imgur.com/DowwoXw.jpeg
KOS-002,Kaos Oversize Pria,Polos,Hitam,XL,85000,5,https://i.imgur.com/DowwoXw.jpeg
DRS-001,Dress Vintage Floral,Bunga,Sage Green,All Size,210000,8,https://i.imgur.com/g0QIJ3c.jpeg
BLS-001,Blouse Rayon Wanita,Polos,Putih,S,125000,6,https://i.imgur.com/EysF0fq.jpeg
KMT-001,Kemeja Salur Pria,Garis-garis,Biru Muda,M,160000,7,https://i.imgur.com/vS2HbWc.jpeg
KMT-002,Kemeja Salur Pria,Garis-garis,Biru Muda,L,160000,7,https://i.imgur.com/vS2HbWc.jpeg
KMT-003,Kemeja Salur Pria,Garis-garis,Biru Muda,XL,160000,3,https://i.imgur.com/vS2HbWc.jpeg
TNC-001,Tunik Batik Wanita,Etnik,Cokelat,XL,195000,8,https://i.imgur.com/Kboqz5B.jpeg
PLO-001,Polo Shirt Pria,Polos,Merah,L,135000,10,https://i.imgur.com/NbN4OeT.jpeg
PLO-002,Polo Shirt Pria,Polos,Merah,XL,135000,5,https://i.imgur.com/NbN4OeT.jpeg
ROK-001,Rok Plisket Panjang,Polos,Mocca,All Size,110000,18,https://i.imgur.com/GvoQT5S.jpeg
